question	choice_A	choice_B	choice_C	choice_D	answer
1952-1985年之间，中国对外贸易依存度小于日本。1986-2006年之间，中国对外贸易依存度大于日本。“对外贸易依存度”是指一国的进出口总额与该国国民生产总值或国内生产总值之比。对外贸易依存度反映一国对国际市场的依赖程度，体现本国经济增长对进出口贸易的依附程度。2010年，中国经济总量超过日本,成为全球第二大经济实体,有关的地理因素是	我国现阶段的城市化进程、产业结构调整和经济发展三者之间相互促进	我国的人均国民收入水平已经超越日本的人均国民收入水平	就第三产业在产业结构中的比重而言，我国已经超越日本	当前，我国“对外贸易依存度”不受“美债危机”、“欧债危机”的影响	A
坡度在10°-20°时太阳辐射量增加，坡度大于20°太阳辐射量减小，坡度超过50°的地方获得的太阳辐射量更小；在50°以上的地方太阳辐射量减小，且理论值比实际值大地表单位面积接受到的太阳辐射量随坡度不同而不同。读“某山地坡面七月份太阳辐射量图”，回答下列题。该山地可能位于我国的(　　)	南方地区	北方地区	西北地区	青藏地区	B
1979年-2013年，中国城市化水平增长较快。读中国和法国城市化进程图，完成下题1979年以来，中国城市化速度加快的主要原 因是（ ）	社会经济发展	农业结构调整	人口自然增长加快	城市环境质量提升	A
法国城市化水平大于中国。法国城市化水平逐年增长。读中国和法国城市化进程图，完成下题与中国相比，法国城市化进程的特点是（ ）	起步晚	速度快	水平高	城市人口多	C
农田年最大雪深最大积雪作为冰冻圈的重要组成部分之一，对全球能量平衡、气候、水文及生态影响显著，在全球气候变化中有着重要作用。下表示我国新疆北部地表覆盖对积雪变量的影响统计情况，据此完成下面小题。 【注】积雪年指每年的7月1日开始至次年的6月30日结束。积雪开始时间以连续5天以上日积雪深度大于5厘米为标准；积雪结束时间以连续5天日积雪深度小于5厘米确定。上表中最有利于积雪形成的地表是（ ）	稀疏灌木	草地	农田	建设用地	C
建筑用地的积雪结束日期最大，农田的积雪结束日期最小积雪作为冰冻圈的重要组成部分之一，对全球能量平衡、气候、水文及生态影响显著，在全球气候变化中有着重要作用。下表示我国新疆北部地表覆盖对积雪变量的影响统计情况，据此完成下面小题。 【注】积雪年指每年的7月1日开始至次年的6月30日结束。积雪开始时间以连续5天以上日积雪深度大于5厘米为标准；积雪结束时间以连续5天日积雪深度小于5厘米确定。造成积雪结束时间不同的原因是（ ）	稀疏灌木接受太阳辐射较强，消融速度较快	草地植被萎缩，积雪紧实度小，消融速度较快	农田地表裸露，反射率大，消融速度慢	建设用地有高大建筑物，加快雪的消融	B
①的值最大，且增长最快。下图表示我国东部、中部和西部三个地带GDP（亿元）的增长，据此完成下列各题。有关①经济地带的叙述，错误的是（ ）	交通便利	经济国际化程度较高	能源、原材料丰富	环境问题严重	C
2015年左右劳动人口增长率为0。下图示意我国1960—2045年每五年劳动人口增长变化(含预测)。读图，完成下题。我国劳动人口数量最多的年份是（ ）	1965年	1980年	2015年	2045年	C
2015—2025年之间,劳动人口增长率小于0。下图示意我国1960—2045年每五年劳动人口增长变化(含预测)。读图，完成下题。2015—2025劳动人口数量的变化会导致（ ）	老龄人口增加	人口增加	用工成本上升	人才外流严重	C
2006—2007年作物产量增长率和作物播种面积增长率都呈现下降的状态，但仍大于0下图为我国2006年至2012年粮食作物产量及粮食作物播种面积增长率。读图完成下列问题。图中信息反映出（）	2006～2007年中国粮食作物播种面积和粮食产量均下降	2007～2009年中国粮食作物产量在不断增长	2009～2010年中国粮食作物产量增长而播种面积下降	2009～2011年中国粮食作物播种面积呈下降趋势	B
粮食播种面积保持增长率较小，而粮食产量增长率相对较大下图为我国2006年至2012年粮食作物产量及粮食作物播种面积增长率。读图完成下列问题。从图中分析，导致中国粮食作物产量变化的最主要原因是（）	粮食作物复种指数不断增加	大力推广生态农业	农业科技投入不断增加 	粮食作物播种面积不断增加	D
甲人均耕地面积广,单位面积土地投入少,单产不高但人均产量高,应是商品谷物农业下表为四个国家在同一年度中的粮食作物生产的统计表。读表，回答下面小题。最可能是商品谷物生产国的是（ ）	甲、乙	丙、丁	乙、丁	甲、丙	A
丙、丁两国人均耕地面积小,单位面积土地投入多,单产高但人均产量低应是自给农业下表为四个国家在同一年度中的粮食作物生产的统计表。读表，回答下面小题。与丙、丁两国农业生产特征相似的是（ ）	美国	韩国	蒙古	尼日利亚	B
10月之前的几个月，基本都是流入水量大于流出水量下图是某水库流入水量和流出水量在一年中的变化情况。读图回答下列小题。该水库蓄水的最高水位出现在	5月	6月	9月	10月	D
该水库全年都有水流入且流入水量在夏季最丰富。该水库7～8月的流入量较小。下图是某水库流入水量和流出水量在一年中的变化情况。读图回答下列小题。该水库可能位于	海河流域	黄河流域	长江流域	珠江流域	C
该河流在3月与8月流量达到峰值。下图是我国某地一河流流量与含沙量逐月分布图，完成下列各题。该河流春汛的主要补给是（）	冰川融水	季节性积雪融水	雨水	地下水	B
该河流在3月与8月流量达到峰值。下图是我国某地一河流流量与含沙量逐月分布图，完成下列各题。该地区夏季降水的最主要类型是（）	台风雨	快行冷锋的暴雨	地形雨	准静止锋的阴雨	B
该河流在3月与8月流量达到峰值。下图是我国某地一河流流量与含沙量逐月分布图，完成下列各题。该河流主要分布在（）	东北地区	华北地区	江淮地区	华南地区读下图	B
最大人口红利期约为2010年,此时老年人口约10%、少年人口约为16%、劳动力人口约74%抚养比是指非劳动力人口数与劳动力人口数之间的比率。老年抚养比= （65岁以上人口数/15～64岁人口数） ×100%；少年抚养比=（0～14岁少年儿童人口数∕15～64岁人口数）×100%。 “人口红利期”是指随着生育率的下降和总人口中劳动适龄人口比重的上升，形成了一个劳动力资源相对丰富、人口抚养负担相对较轻的时期。图为我国不同年龄段人口比例随时间变化图，读图完成下列各题。在最大人口红利期，老年抚养比、少年抚养比大约是（ ）	16.6％，20％	11.4％，31.4％	12.7％，22.2％	25.3％，19.9％	C
北京市的城市建成区面积最大。读中国四个城市建成区面积（平方公里）的变化表，回答下列各题。推动四城市建成区面积变化的主要动力是（ ）	城市人口众多	社会经济发展	城市用地增多	城市建筑剧增	B
2014年-2025年，第一产业比重下降，第二产业和第三产业比重上升。城市化率上升。2015年4月，国务院正式批复同意设立湖南湘江新区。该新区现有常住人口85万，其中两院院士40余人，大中专院校30多所，在校大学生30余万人。读湖南湘江新区产业及城市化率数据表（单位：%），回答下列各题。与2014年相比，2025年湘江新区产业结构变化的特点是（ ）	第一产业产值变化幅度最大	第二产业始终处于主导地位	第三产业的就业人数最多	劳动力主要从第一产业向第三产业转移	B
当月份为10月时，流入量和流出量大致相等下图为我国某水库流入水量与流出水量年内变化情况，读后回答下列问题。该水库蓄水的最高水位出现在 	5月	6月	9月	10月	D
该水库1-4月和10-12月流入量流出量较小，5-9月流出量较大。下图为我国某水库流入水量与流出水量年内变化情况，读后回答下列问题。该水库可能位于	松花江流域	黄河流域	长江流域	珠江流域	C
甲类工业成本构成中工资成本占比最大读“甲、乙两类工业生产成本构成表”，完成下面各题。甲类工业部门最可能是（ ）	制糖工业	冶金工业	纺织工业	电子工业	C
乙类工业成本构成中原料运费占比最大。读“甲、乙两类工业生产成本构成表”，完成下面各题。乙类工业（ ）	产品科技含量高	接近原料产地	需要大量劳动力	需消耗大量能源	B
从表中看2007~2016年北京常住人口增速均为正值下表为我国北京、上海近十年常住人口年均增速统计表。据此完成下列各题。据表可知2007～2016年北京常住人口（ ）	数量减少	数量增加	先增后减	先减后增	B
2014～2016年上海常住人口增速小于0下表为我国北京、上海近十年常住人口年均增速统计表。据此完成下列各题。导致2014～2016年上海常住人口增速变化的主要原因是（ ）	产业结构升级	人口政策调整	房价快速上升	老龄化加剧	A
在0km-20km处，X收益大于Y和Z。在20km-60km处，Y收益大于X和Z。在60km-100km处，Z收益大于Y。读图回答下题．影响X、Y、Z的主要农业区位因素是（ ）	市场	劳动力	水源	气候	A
该城市城镇化水平变化一直大于0。该城市建成区面积变化一直大于0。读我国某市1980年至2012年间城镇化进程中市区人口、城镇化水平与建成区面积变化(相对上一年)示意图，完成下列问题。该市城镇化进程中不可能出现的现象是（ ）	商业服务地域范围扩大	城市级别提升	城市环境质量逐渐提高	郊区城市化	C
④的7月平均气温最低。7月平均气温和1月平均气温相差最大的是①。②的夏秋季和冬春季降水量都较多。下表为我国五个自治区行政中心城市气候资料表。读袁中数据，回答下列问题。①②③④序号对应的城市是（ ）	银川、拉萨、呼和浩特、乌鲁木齐	呼和浩特、拉萨、银川、乌鲁木齐	乌鲁木齐、呼和浩特、银川、拉萨	拉萨、呼和浩特、乌鲁木齐、银川	C
城市①冬春季降水较多下表为我国五个自治区行政中心城市气候资料表。读袁中数据，回答下列问题。城市①冬春季降水较多的原因是受（ ）	季风的影响	亚洲高压控制	热带气旋影响	西风气流影响	D
图中PM2.5出现两个峰值雾霾天气，是造成城市里大面积低能见度的情况。在早上或夜间相对湿度较大的时候，形成的是雾；在白天气温上升、湿度下降的时候，逐渐转化成霾。这种现象既有气象原因，也有污染排放原因。读某城市一天中PM2.5变化图，回答下列各题。下列天气系统中，容易产生雾霾天气的是（ ）	强低压	弱高压	冷锋	暖锋	B
5月-10月北坡气温垂直递减率大于南坡。11月-12月和1月-4月南坡气温垂直递减率大于北坡。下图为秦岭太白山南、北坡气温垂直递减率的变化情况。完成下列各题。太白山南、北坡气温垂直递减率（ ）	夏季北坡较南坡低	南坡变化幅度较北坡小	冬季北坡较南坡高	与气温高低呈负相关	B
农业集中度整体上下降趋势。工业集中度先上升后下降。服务业集中度整体上上升。地理集中度表示产业在区域空间的集聚程度，数值越小，集中度越低，反之越高。读我国三大产业的地理集中度变化曲线图，完成下列问题。近30年以来，我国三大产业空间格局呈现的变化是	三大产业都趋向于集中	农业集中度越来越高	工业布局一直趋向分散	服务业总体趋向集聚	D
降水量、径流量和输沙量在7-9月较大。图7为“我国某河流中游水文观测站多年月平均降水量、径流量、输沙量变化图”。读图回答14-16题该流域	雨水是河水主要的补给来源	降水量主要集中在春秋季节	径流量随降水量同步增减	枯水期流量小，输沙量大	A
甲地机械化水平高、农产品商品率高。乙地年降水量大，人口密度大，机械化水平低，农产品品率低。丙地年降水量少。丁地人口密度大，单位面积收益高。表是“四个不同地区农业生产比较表”。据此完成下列问题。甲-丁对应的农业地域类型可能性最大的是	混合农业、水稻种植业、大牧场放牧业、商品谷物农业	乳畜业、大牧场放牧业、商品谷物农业、混合农业	水稻种植业、乳畜业、混合农业、大牧场放牧业	商品谷物农业、水稻种植业、大牧场放牧业、乳畜业	D
2030年后中低龄老年人的比重变化最大；2025年以后，老年人口的增加主要表现为中高龄老人的增加。老年人并非一个同质群体，按照年龄可将其分为低龄老年人（60-69岁）、中龄老年人（70-79岁）和高龄老年人（80岁以上）。据图可知	2030年后中高龄老年人的比重变化最大	2030年后低龄老年人变化趋势最平稳	2025年以后，老年人口的增加主要表现为中高龄老人的增加	60+岁老年人口比重变化曲线与其他两条曲线无关	C
该河流上游径流量大于下游。上游和下游径流量在7-10月份较大。下图，该河流最主要的补给类型是	雨水	冰川融水	湖泊水	季节性积雪融水	B
总人口逐年上升。城镇人口比重逐年上升，乡村人口比重逐年下降。《2012年社会蓝皮书》指出，2011年中国城镇人口占总人口的比重，数千年来首次超过农业人口，达到51. 27%。下表为我国某省（市、区）城；人口统计表，回答下列各题。近30年来，我国城市化快速发展的主要原因是	农业播种面积减少	人口总量不断增长	产业结构调整和工业化进程加快	城市生活方式和价值观念的吸引	C
城市化的水平比较高。《2012年社会蓝皮书》指出，2011年中国城镇人口占总人口的比重，数千年来首次超过农业人口，达到51. 27%。下表为我国某省（市、区）城；人口统计表，回答下列各题。表格数据所代表的省（市、区）最可能是	上海市	江苏省	内蒙古自治区	四川省	B
丁国生产和输入量为3．4015百万桶，消费和输出量为3．6112百万桶下表是中国、印度、俄罗斯、美国四个国家2008年每日的石油生产、消费、输出、输入统计表，读表回答下列问题。从上表判断，哪国国内每日石油现货呈现不足的情形	甲	乙	丙	丁	D
美国石油消费量最大，其次是中国。俄罗斯石油生产量和输出量最大。下表是中国、印度、俄罗斯、美国四个国家2008年每日的石油生产、消费、输出、输入统计表，读表回答下列问题。根据上袭判断，甲、乙、丙、丁国家分别是	中国、俄罗斯、美国、印度	美国、俄罗斯、中国、印度	俄罗斯、美国、印度、中国	美国、俄罗斯、印度、中国	B
甲的60岁以上人口数量大于乙，死亡率大于乙。读“甲、乙两地人口的抽样调查表”（每10000人中各年龄段人数及死亡率统计）。完成下列各题。甲组人口死亡率总计是（ ）	0．775%	0．675%	0．885%	0．95%	C
1940年-1985年，该国人口自然增长率大于0，1985年-2010年，该国人口自然增长率小于0。下图是某国1940~2012年人口自然增长率变化情况。完成下面小题。图示时间段内，该国人口最少的年份是（ ）	1940年	1985年	2000年	2010年	A
该国人口自然增长率总体上在降低。下图是某国1940~2012年人口自然增长率变化情况。完成下面小题。近年来该国人口增长模式为（ ）	“高—高一低”模式	“高—低一高”模式	“高—低一低”模式	“低—低一低”模式	D
中国稀土的产量百分比最大2010年12月31日，中国颁布稀土出口配额制度，世界稀土产业将形成新的格局。下表是2009年部分国家和地区稀土储量、产量和消费量占世界百分比统计表。完成下列各题。我国稀土资源储量从20世纪70年代占世界总量的74%，到2009年仅占36%，其主要原因是（）	世界稀土资源的探明储量大幅度增加	我国新堪探的稀土资源少	我国稀土资源的过度开采	我国稀土资源的消费量世界最多	C
2015年前后劳动人口增长率为0读我国劳动人口(15—64岁)增长率变化预测图，回答下列问题。我国劳动力人口达到顶峰的时间大约是	1965年前后	1990年前后	2015年前后	2045年前后	C
2015年前后劳动人口增长率为0读我国劳动人口(15—64岁)增长率变化预测图，回答下列问题。据图推测，我国未来面临的严峻的人口问题最可能是	出生率高	自然增长率高	人口老龄化严重	劳动力过剩	C
17天中最高气温出现在16日,24℃气温日较差是一天中最高气温与最低气温的差值。图是某年3月1日至17日上海地区气温折线图。读图完成下题。图中最高气温表示一天中的最高气温，最低气温表示一天中最低气温。17天中，最高气温出现在（ ）	16日	10日	12日	17日	A
16日的最高气温与最低气温的差值最大气温日较差是一天中最高气温与最低气温的差值。图是某年3月1日至17日上海地区气温折线图。读图完成下题。下列4天中，气温日较差最大的一天是（ ）	3日	6日	11日	16日	D
乙国总体出口较多，近年来出口量正在下降过程中；甲国在2000年之前出口量很小，2000年以后，甲国出口小麦增长量较大，也有较大的波动，近年来增在增长过程中，而且超过乙国；丙国总体出口小麦较少。下图为中国（不包括港澳台地区）、俄罗斯、澳大利亚小麦出口量随年代变化示意图。读图回答以下问题。曲线甲、乙、丙代表的国家分别为	中国、澳大利亚、俄罗斯　	澳大利亚、俄罗斯、中国	澳大利亚、中国、俄罗斯　	俄罗斯、澳大利亚、中国	D
乙国小麦出口一直较多，2002年前后的小麦出口量也都比较高下图为中国（不包括港澳台地区）、俄罗斯、澳大利亚小麦出口量随年代变化示意图。读图回答以下问题。乙国2002年小麦出口量突然下降，其原因最有可能是	生态退耕	市场需求变化	自然灾害	调整农业生产结构	C
乙国总体出口较多，近年来出口量正在下降过程中；甲国在2000年之前出口量很小，2000年以后，甲国出口小麦增长量较大，也有较大的波动，近年来增在增长过程中，而且超过乙国；丙国总体出口小麦较少。下图为中国（不包括港澳台地区）、俄罗斯、澳大利亚小麦出口量随年代变化示意图。读图回答以下问题。关于甲、乙、丙三国，下列说法正确的是	甲国首都是作为政治中心新建的城市	乙国向丙国大量进口铁矿石	丙国小麦出口量低是因为纬度高热量不足	城市化水平乙＞甲＞丙	D
①的值最大，增长速度最快。今后我国三个地带的发展，应当在国家统一规划指导下，按照因地制宜、合理分工、各展所长、优势互补、共同发展的原则，充分发挥本地带的优势。下图表示我国东部、中部和西部三个地带GDP(亿元)的增长，据此完成下列小题。有关①经济地带的叙述，错误的是（）	交通便利	经济国际化程度较高	能源、原材料丰富	环境问题严重	C
该省级的人口迁入率是呈波动上升的。迁出率也呈波动下降。读“1995～2009年我国某省级行政区户籍人口迁移变动情况图”，结合所学知识，完成题。1995～2009年，该省级行政区户籍人口(　　)	迁入率持续上升	迁出率持续降低	机械增长率缓慢下降	累计净迁入量逐年增加	D
该省级的人口迁入率是呈波动上升的。迁出率也呈波动下降。读“1995～2009年我国某省级行政区户籍人口迁移变动情况图”，结合所学知识，完成题。从人口迁移模式看，该省级行政区可能是(　　)	上海	安徽	湖南	河南	A
1月-3月，水量盈余率大于1。3月-9月，水量盈余率小于1。9月-12月，水量盈余率大于1。水量盈余率是衡量水库蓄水量变化的重要指标(水量盈余率＝流入量/流出量)，下表为某水库各月水量盈余率统计表。读表完成下面小题。该水库储水量最小的月份是（ ）	3月	6月	9月	12月	C
1月-3月，水量盈余率大于1。3月-9月，水量盈余率小于0。9月-12月，水量盈余率大于1。水量盈余率是衡量水库蓄水量变化的重要指标(水量盈余率＝流入量/流出量)，下表为某水库各月水量盈余率统计表。读表完成下面小题。该水库最有可能位于（ ）	南非西南	东南亚	地中海沿岸	中亚	C
绿地的累积入渗量高于其他地表性质的地面,草皮空心砖、普通混凝土砖、透水混凝土砖等地表的入渗率都小于绿地。为在人工模拟降雨条件下，不同性质的城市地对面水量入渗随时间变化。据此，读下图回答下列各题。不同性质的地表，对水循环影响差异较大的环节是（ ）	降水	蒸发	下渗	水汽输送	C
绿地的累积入渗量高于其他地表性质的地面,草皮空心砖、普通混凝土砖、透水混凝土砖等地表的入渗率都小于绿地。为在人工模拟降雨条件下，不同性质的城市地对面水量入渗随时间变化。据此，读下图回答下列各题。为了美化环境并减轻城市内涝的发生，城市下垫面最适宜增加（ ）	绿地	草皮空心砖	普通混凝土砖	透水混凝土砖	A
1970年-2050年，中国城市化水平增长速度大于美国。下图为“1850～2050年中国、英国和美国三国城市化进程示意图（含预测）”。读图，回答下列各题。图中（ ）	英国城市化进程的速度始终高于美国	美国先于英国达到80%的城市化水平	1970年以后中国城市化进程快于美国	各国城市化水平的最重要衡量指标是城市人口数量	C
1970年-2050年，中国城市化水平增长速度大于美国。下图为“1850～2050年中国、英国和美国三国城市化进程示意图（含预测）”。读图，回答下列各题。2030年与2000年相比，三国城市化带来主要变化有（ ）	英国一一第一，二产业比重增加	美国一一城市环境质量持续恶化	中国一一城市土地价格普遍上涨	中国一一第一产业成为主导产业	C
a不断降低但不会低于零下面是我国人口增长走势及预测图，读图，回答题图中a、b、c三条曲线依次表示	出生率、死亡率、自然增长率	出生率、自然增长率、死亡率	死亡率、出生率、自然增长率	死亡率、自然增长率、出生率	A
b曲线自2015年后逐渐上升下面是我国人口增长走势及预测图，读图，回答题根据图中曲线判断，下列说法正确的是	中国人口最多的年份出现在2015-2020年间	b曲线自2015年后逐渐上升可能是医疗水平不断提高造成的	2010-2015年间我国人口增长处在过渡型阶段	我国人口数量逐步减少要到2025年以后	D
从1978年-2006年，出生率和死亡率都在降低。读北京市人口统计表，完成下列各题。北京市2006年人口增长的主要特点是（ ）	高出生率、高死亡率、低自然增长率	高出生率、低死亡率、高自然增长率	低出生率、高死亡率、低自然增长率	低出生率、低死亡率、低自然增长率	D
从1978年-2006年，出生率和死亡率都在降低，总人口和城镇人口都在增加。读北京市人口统计表，完成下列各题。该表数据反映出北京市（ ）	城市人口比重增加	城市化水平较低	城市用地规模扩大	经济结构的变化	A
5月-8月辐射值较大下图为长江三角洲某城市多年平均太阳辐射值逐月变化柱状图。读图完成下列各题。该城市平均太阳辐射值最大的季节是（ ）	春季	夏季	秋季	冬季	B
1-4月和8-12月辐射值较小。5-7月辐射值较大。下图为长江三角洲某城市多年平均太阳辐射值逐月变化柱状图。读图完成下列各题。该城市各月平均太阳辐射值（ ）	1月较7月小，因为1月气温低	6月较5月小，因为6月云量大	7月较6月大，因为太阳高度大	8月较9月大，因为白昼时间短	B
发达国家城市化起步早,水平高,发展缓慢；发展中国家起步晚,水平低,发展速度快读“1800-2000年世界城市化水平图”，结合所学知识，完成问题。由图可知（ ）	1800年前后，世界范围内城市化水平差距大	发展中国家城市化水平高于发达国家	发展中国家城市人口数量始终少于发达国家	发展中国家城市化起步晚	D
发达国家城市化起步早,水平高,发展缓慢；发展中国家起步晚,水平低,发展速度快读“1800-2000年世界城市化水平图”，结合所学知识，完成问题。有关城市化，下列叙述不正确的是（ ）	城市化导致建设用地增加	城市化改变了居民就业结构	城市化改变了人口空间分布	城市建筑物的高度改变了太阳高度角	D
高度相同时，1号风塔的风俗小于2号风塔的风速。随着高度的增加，风速增加。图3为我国东南沿海某南北走向山脉东西坡两个风塔所测风速随高度变化图。读图，回答第5题。由图可判断出	地球大气层中风速大小与高度成正相关	40—60米高度内，1号风塔风速的垂直变率小于2号	1号风塔的位置更适宜建风电场	1号风塔位于山脉的西侧，2号风塔位于山脉东侧	D
