guid	text_a	most-value	in-decrease	speci	cmp	more-less	trend
340-0	产业贡献率指各产业增加值增量与GDP增量之比，是北京市的2001-2012年三次产业贡献率统计图。完成下题。下列有关北京市三次产业的说法正确的是	1	0	1	1	0	0
396-0	2012年社会蓝皮书指出，2011年中国城镇人口占总人口的比重，数千年来首次超过农业人口，达到51.27%。我国某省市区城人口统计表，下列各题。表格数据所代表的省市区最可能是	0	1	0	0	1	0
407-0	为经济发展程度与人口迁移数量的关系曲线分别表示乡村之间城市之间乡村到城市城市到乡村四种人口迁移类型示意图。完成小题。图中曲线表示乡村之间城市之间乡村到城市城市到乡村的分别是(　　)	0	0	0	0	0	1
407-1	为经济发展程度与人口迁移数量的关系曲线分别表示乡村之间城市之间乡村到城市城市到乡村四种人口迁移类型示意图。完成小题。曲线③代表人口迁移现象，在下列城市中体现最明显的是(　　)	0	0	0	0	0	1
468-0	表示我国某地某日观测记录的到达地面的太阳辐射日变化。完成小题。该日日期及天气状况可能是(　　)　　　　　　　　　　　　　　　　	0	0	1	0	0	0
542-0	寒假，王教授回老家过年。在其家乡县城某路口统计了车流量和车辆信息，情况如下表。据此下列各题。从表中信息，可以确定	0	0	0	1	1	0
542-1	寒假，王教授回老家过年。在其家乡县城某路口统计了车流量和车辆信息，情况如下表。据此下列各题。若车辆构成的变化是由于外出务工人员回家，结合材料可以推测，王教授的老家是	0	0	0	1	0	0
548-0	近两年美国都力压中国，是世界第一大对外直接投资接受国。波士顿咨询公司就预测称，多个行业的制造业将回归美国，所涉及产值约占美国从中国进口额的30%。中美两国每公斤纺纱成本价单位：美元对比表，完成下列各题。导致美国每公斤纺纱成本较低的因素有①劳动力价格②贸易壁垒③原料价格④优惠政策	0	0	0	1	0	0
588-0	2013年12月上旬，长三角地区出现罕见的雾霾。反映绍兴某日近地面的PM2.5指数变化指数越大污染越严重）。完成下列各题。该日午后PM2.5指数低，其原因最可能是	0	0	0	0	1	0
636-0	工业化与城市化是推动区域经济社会发展的主要动力，某国工业化与城市化进程图，下列问题。有关该国工业化和城市化进程特点的叙述，正确的是	0	1	1	1	0	0
660-0	我国华南某城市2012年PM2.5月变化统计图，完成下列各题。该城市夏季PM2.5含量数值全年最低的主要原因是	1	0	0	0	0	0
666-0	美国底特律市人口数量变化图，完成下列各题。下列年份中，该市人口数量最多的是	0	0	1	0	0	0
690-0	示意1978一2004年黑龙江垦区粮食总产量与水稻产量的变化。下列各题。该地区粮食结构变化最可能导致该地区	0	0	0	1	0	1
711-0	是某水库流入水量和流出水量在一年中的变化情况。下列小题。该水库蓄水的最高水位出现在	0	0	0	1	0	0
711-1	是某水库流入水量和流出水量在一年中的变化情况。下列小题。该水库可能位于	0	0	0	0	1	0
741-0	我国汽车保有量迅速增长，方便人们生活的同时也给城市带来巨大的压力。为某城市主要干道市区与郊区之间双向车速变化曲线图完成下列各题。关于图中①、②曲线所反映现象的说法，正确的是	0	0	0	0	1	0
765-0	全球气温变化图完成下列各题。该图反映的地理现象是	0	0	0	0	0	1
765-1	全球气温变化图完成下列各题。该图反映的现象直接导致的后果是	0	0	0	0	0	1
774-0	所示河流以雨水补给为主。。该河流可能位于	1	0	0	0	0	0
788-0	为中国不含港澳台俄罗斯澳大利亚小麦出口量随年代变化示意图。下列问题。曲线甲乙丙代表的国家分别为	0	0	0	0	1	1
833-0	我国某省人口变化统计表。，完成下题。该省区最可能是	0	1	1	0	0	0
833-1	我国某省人口变化统计表。，完成下题。该省区在1990-2010年期间	0	1	1	0	0	0
842-0	我国劳动人口15-64岁增长率变化预测图，下列问题。我国劳动力人口达到顶峰的时间大约是	0	0	1	0	0	0
913-0	PM2.5是指大气中直径小于或等于2.5微米的颗粒物，是造成雾霾天气的主要原因。为北京市某日PM2.5浓度变化示意图”。下列各题。图中PM2.5浓度高峰出现时段	1	0	0	0	0	0
998-0	为中国劳动适龄人口15-64岁比重预测图”。完成下列问题。对2010年后劳动适龄人口比重下降趋势的预测是基于（　　）	0	1	0	0	0	0
1068-0	我国城市面积和城市人口增长率折线图，下列各小题。图中反应了我国城市化发展过程中	0	0	0	1	0	0
1119-0	世界中国印度德国人口年龄构成和抚养比2008年统计表。抚养比指0一14岁和65岁及以上人口与15-64岁人口之比。据此完成下列各题。世界中国印度德国依次与表中代号对应正确的一组是	1	0	0	1	0	0
1119-1	世界中国印度德国人口年龄构成和抚养比2008年统计表。抚养比指0一14岁和65岁及以上人口与15-64岁人口之比。据此完成下列各题。②国抚养比低的最主要原因是	1	0	0	0	0	0
1121-0	某种农作物生长期约2个月，前期1个月最适宜温度15-18℃，后期1个月最适宜温度12-14℃。是种植该作物的甲乙两地气候资料。根据所给材料，下面各题。该作物在乙地的最佳收获月份	0	0	1	0	0	0
1121-1	某种农作物生长期约2个月，前期1个月最适宜温度15-18℃，后期1个月最适宜温度12-14℃。是种植该作物的甲乙两地气候资料。根据所给材料，下面各题。与甲地相比，乙地种植该作物	0	0	0	1	0	0
1150-0	年龄中位数指将全体人口按年龄大小的自然顺序排列时居于中间位置的人的年龄数值，在这个年龄数值以上的人数和以下的人数相等。下面表格示意2010年部分国家及世界人口平均年龄中位数单位：岁）。，据所学知识完成下列问题从表中可分析得到的正确结论是	0	0	0	1	0	0
1150-1	年龄中位数指将全体人口按年龄大小的自然顺序排列时居于中间位置的人的年龄数值，在这个年龄数值以上的人数和以下的人数相等。下面表格示意2010年部分国家及世界人口平均年龄中位数单位：岁）。，据所学知识完成下列问题中国已经进入现代型人口增长阶段，但当前乃至今后一段时期内劳动力就业形势非常严峻。这是因为	0	0	0	1	0	0
1178-0	地理集中度表示产业在区域空间的集聚程度，数值越小，集中度越低，反之越高。我国三大产业的地理集中度变化曲线图，完成第下题。近30年以来，我国三大产业空间格局呈现的变化是	0	0	0	0	0	1
1204-0	我国不同时期的城市用地年平均增长率与城市人口年平均增长率统计表。据表下列各题。1985-2011年我国城市人口人均城市用地总体变化趋势为	0	0	1	0	0	0
1278-0	为成都30.7°N，104°E日出时刻7时零4分北京时间这一天，世界四个著名城市与成都正午太阳高度差值H和日出时间差值T图图中正午太阳高度大于成都为正，小于为负日出时间早于成都为正，晚于为负)，问题。图中①、②、③、④依次代表的城市，正确的一组是	1	0	0	0	0	0
1329-0	是某半球中纬度一条河流上游水文站和下游水文站测得的径流量随季节变化曲线，下题。从图中可以看出	0	0	0	0	1	1
1398-0	地-气系统大气和地面吸收太阳短波辐射能量收入)，又向外发射长波辐射能量支出)，能量收支的差值，称为辐射差额。示意沿海某地多年平均辐射差额的月份分配。结合材料完成下列问题若只考虑辐射差额对气温的影响，该地气温最低的月份是	1	0	1	0	0	0
1537-0	表示我国某地某日到达地面的太阳辐射日变化状况。下列问题。该日日期及天气状况可能是	0	0	1	0	1	0
1578-0	拉萨河流拥有丰富的物质文化和非物质文化资源，拉萨位于宽阔的拉萨河谷地北侧。为拉萨7月降水量日平均变化图。完成下列各题。有关拉萨7月降水日变化成因的叙述，正确的是	0	0	0	0	1	0
1590-0	海底深度与其岩石年龄关系图，下列各题。甲处的岩石类型和地形分别是	0	0	0	0	0	1
1595-0	水量盈余率是衡量水库蓄水量变化的重要指标水量盈余率流入量/流出量），某水库各月水量盈余率统计表”。完成下列各题。下列说法正确的是	0	0	1	0	0	0
1620-0	为北半球某地某日的太阳高度变化示意图。完成下列问题。该地的地理坐标是	1	0	1	0	0	0
1638-0	2012年12月26日京广高铁正式开通运营。某日高铁与航空运输比较表），下列问题。从资料中分析可知，四个区间中高铁与航空运输竞争最激烈的是	0	0	0	1	0	0
1646-0	生物质能是以生物为载体，将大阳能以化学能形式储存的一种能量，它直接或间接地来源于植物的光合作用。我国三个省区生物质能资源状况表，下列问题。浙江和江苏的薪柴总量相差很大，但生物质能满足状况相差较小，主要原因是	0	0	0	1	0	0
1646-1	生物质能是以生物为载体，将大阳能以化学能形式储存的一种能量，它直接或间接地来源于植物的光合作用。我国三个省区生物质能资源状况表，下列问题。新疆的生物质能资源远不能满足需求，其最主要原因是	0	0	0	0	1	0
1665-0	我国第六次人口普查时山东省某市迁入入口年龄及性别统计表”。完成下列各题。该市迁入人口的特征有	0	0	0	1	1	0
1667-0	AB两地终年盛行西风且纬度相当，分析两地的气候资料，完成下列问题。根据资料推断A地的典型植被类型是	0	0	1	0	1	0
1667-1	AB两地终年盛行西风且纬度相当，分析两地的气候资料，完成下列问题。下列有关A与B地气候特点的比较，正确的是	0	0	0	1	1	1
1695-0	图为1982-2010年某大都市人口密度对数分布的变化图数值越大，表示人口密度越大，完成下题。1982-2010年间，该市人口密度的变化，正确的是	0	1	0	1	0	0
1695-1	图为1982-2010年某大都市人口密度对数分布的变化图数值越大，表示人口密度越大，完成下题。图示人口密度对数值的变化说明该市	0	0	0	1	0	0
1802-0	我国某地某时段气温变化示意图，下列问题。经过该地该时段的天气系统可能是	0	1	0	0	0	0
1802-1	我国某地某时段气温变化示意图，下列问题。该地太阳能热水器使用效果最差的日期是	0	0	0	1	0	0
1853-0	为我国2006年至2012年粮食作物产量及粮食作物播种面积增长率。完成下列问题。图中信息反映出	0	1	1	0	0	0
1853-1	为我国2006年至2012年粮食作物产量及粮食作物播种面积增长率。完成下列问题。从图中导致中国粮食作物产量变化的最主要原因是	0	0	0	1	0	0
1906-0	示意近年来珠江三角洲城市群热岛强度的时间分布。下列问题。导致该城市群大部分时间热岛强度夜大于昼的主要因素是	0	0	0	1	1	0
1911-0	抚养比又称抚养系数，是指在人口当中，非劳动年龄人口对劳动年龄人口数之比。广东省两次全国人口普查统计表。据此完成下列问题。根据表格数据推断	0	1	0	0	0	0
2024-0	为我国某城市某日内太阳辐射地面辐射和气温变化示意图，完成下列各题。太阳辐射地面辐射和气温变化曲线分别对应的是	1	0	1	1	0	0
2024-1	为我国某城市某日内太阳辐射地面辐射和气温变化示意图，完成下列各题。该地该日可能是	0	0	1	1	0	0
2053-0	径流系数就是某一时期的径流量毫米与这一时期的降水量毫米之比，用百分率表示，它能反映一个地区降水量有多少变成径流补给河流，有多少被蒸发或下渗。我国部分地区的径流系数，根据数据，下列各题。根据的数据，分析得出	0	0	0	1	1	0
2067-0	北半球某河流上下游径流量季节变化曲线图完成下列各题。该河上下游水源，最主要的补给方式，分别是	0	0	0	0	1	0
2113-0	塔里木河年径流损耗量多年变化图下列各题。塔里木河年径流损耗量的特点有①总体年径流损耗量表现出递增趋势②上游年径流损耗量总体增加趋势明显③中下游的年径流量总体递减趋势显著④以下游损耗为主	0	1	0	0	0	1
2127-0	一听是萌兽，一看是猛兽。玉兔是传说，天兔却不是”。2013年9月22日19时40分前后，今年第19号强台风天兔的中心在广东省汕尾市沿海登陆，给附近地区带来狂风暴雨。下列问题图为台风经过汕头时的风速变化图示意图，台风最接近该地是：	0	0	0	0	1	0
2179-0	为我国某地某月两日太阳高度日变化示意图”。，完成下列问题。该月(　　)	0	0	1	1	0	0
2220-0	我国某地某日测试记录的到达地面的太阳辐射日变化示意图。完成下列各题该日日期及天气状况可能是	0	1	1	0	0	0
2220-1	我国某地某日测试记录的到达地面的太阳辐射日变化示意图。完成下列各题该地可能位于	0	0	1	0	0	0
2224-0	我国某城市学生连续三天实测日出日落时刻北京时间和正午标杆影长记录表据此完成下列各题。此时段	0	1	0	0	0	0
2331-0	某学生收集了当地甲与姐姐留学所在地乙的全年每一天的昼长资料，并绘成图）。完成下列各题。已知甲乙两地纬度相差20°，则甲乙两地有可能分别是	1	0	0	0	0	0
2370-0	中国印度俄罗斯美国四个国家2008年每日的石油生产消费输出输入统计表，下列问题。从上表，哪国国内每日石油现货呈现不足的情形	0	0	0	0	0	0
2370-1	中国印度俄罗斯美国四个国家2008年每日的石油生产消费输出输入统计表，下列问题。根据上袭，甲乙丙丁国家分别是	1	0	0	1	0	0
2413-0	老年抚养比是老年人口数65岁以上与劳动年龄人口数15-64岁之比。表I为甲乙两国人口老龄化趋势比较（%），据此完成下列问题。关于甲乙两国人口老龄化的，正确的是	0	0	0	1	0	0
2413-1	老年抚养比是老年人口数65岁以上与劳动年龄人口数15-64岁之比。表I为甲乙两国人口老龄化趋势比较（%），据此完成下列问题。2000-2010年甲国老年抚养比的增长快于老年人口比重的增长，可能是因为甲国	0	0	0	1	0	0
2457-0	为150°W某地全年白昼小时数曲线图。完成下列各题。该地一年中白昼最大差值约	1	0	0	0	0	0
2457-1	为150°W某地全年白昼小时数曲线图。完成下列各题。若图中b点这一天正值日出时，此时北京时间是	0	0	1	0	0	0
2477-0	6月某日，MP两地的太阳高度角示意图完成下列问题。关于两地方向的，正确的是	1	0	0	0	0	0
2477-1	6月某日，MP两地的太阳高度角示意图完成下列问题。关于Ｍ、Ｐ两地特点的叙述，正确的是	1	0	1	0	0	0
2502-0	甲乙两地点之间有三条道路相连。某地理活动小组测绘了这三条道路的纵向剖面图。，下列问题。甲乙两地点间高差大致为(　　)	1	0	0	0	0	0
2502-1	甲乙两地点之间有三条道路相连。某地理活动小组测绘了这三条道路的纵向剖面图。，下列问题。若使用大型运输车从乙地运送重型机械设备至甲地，最适合行车的是(　　)	0	0	0	0	0	1
2503-0	是MN两地太阳辐射的年变化示意图完成下列问题。M地最可能位于(　　)	1	0	1	0	0	1
2525-0	为中国不包括港澳台地区俄罗斯澳大利亚小麦出口量随年代变化示意图。以下问题。曲线甲乙丙代表的国家分别为	0	0	0	1	1	1
2525-1	为中国不包括港澳台地区俄罗斯澳大利亚小麦出口量随年代变化示意图。以下问题。乙国2002年小麦出口量突然下降，其原因最有可能是	0	0	0	0	1	0
2582-0	热岛强度是指中心城区比郊区气温高出的数值大小，是某大城市热岛强度日变化示意图。完成下列问题。有关该城市热岛强度的描述，正确的是	1	0	0	1	0	0
2592-0	四个不同地点的山地上某植被类型海拔高度分布表，下列问题。推断该植被类型是	0	0	0	0	0	0
2663-0	为我国某水库流入水量与流出水量年内变化情况，读后下列问题。该水库蓄水的最高水位出现在	0	0	0	1	0	0
2728-0	地表单位面积接受到的太阳辐射量随坡度不同而不同。某山地坡面七月份太阳辐射量图下列题。关于该山地坡向的叙述正确的是(　　)①阳坡　②阴坡　③迎风坡　④背风坡	0	1	0	1	0	0
2734-0	是北半球亚热带某地降水量逐月累计曲线图。完成下列问题。该地水循环最活跃的季节是	0	1	0	0	0	0
2780-0	中数字表示高雄开普敦淮北芝加哥四个城市。，下列各题：图中城市②是	0	0	1	0	0	0
2819-0	出生人口性别比，是每出生百名女婴相对的出生男婴数，联合国明确认定了出生性别比的通常值域为102-107之间，其他值域则被视为异常。我国部分年份出生人口性别比数据，完成下列各题。下列关于近些年我国人口性别比数据的说法正确的是：	0	0	1	0	0	1
2848-0	水足迹是指生产商品与服务所耗费的水资源数量，其中本国生产给本国消费的部分为内部水足迹，他国生产给本国消费的部分为外部水足迹。示意某国2012年的可更新水资源和水足迹情况。据此下列各题：根据资料可知该国	0	0	0	1	0	0
2865-0	我国两城市的甲乙两家庭人口住房收入等条件相当各月用电量比较图”。家庭用电量与所在地气候状况存在一定的相关性。下列说法正确的是	1	0	0	0	1	1
2869-0	某大城市居民出行时间分布比例变化图，完成下列问题。人员出行与图中曲线最相符的城市功能区是	0	0	0	0	1	0
2869-1	某大城市居民出行时间分布比例变化图，完成下列问题。与2000年相比2012年甲时段出行比例下降的主要原因是	0	0	0	1	0	0
2883-0	按照中长期铁路网规划》，我国将建设多条铁路快速客运通道。结合下面不同距离条件下高速铁路与航空运输两种运输方式的竞争关系模型图下列问题。由图可知，两种运输方式竞争最激烈的运距是	0	0	0	1	0	0
2903-0	我国10-14岁和55-59岁人口比重的变化图，下列问题。按照15-60岁为劳动力人口，我国劳动力人口比重最高的时段为	0	1	0	1	0	0
2903-1	我国10-14岁和55-59岁人口比重的变化图，下列问题。2014年前后，我国人口年龄结构变化带来的影响是	0	0	0	1	0	0
2937-0	读中日韩俄四国交通资料统计图表，下列各题。关于甲乙丙丁四国说法正确的是	0	0	1	0	1	0
2954-0	我国平均预期寿命变化图，下列正确选项1981-2010年我国平均预期寿命变化图	0	1	0	1	0	0
2960-0	2010年，上海市近郊区与远郊区人口密度分别为每平方千米4684人和1388人，比2000年分别增长80.2%和61.4%，郊区人口密度增幅远高于城区。结合下列问题。1978年到2009年，上海市郊区和城区制造业产值比重的变化以及近十年人口空间集聚的变化可以显示①城区工业用地大多转变为商业用地②城区居住用地大多转变为商业用地③郊区农业用地部分转变为工业用地④郊区农业用地部分转变为居住用地	0	1	0	0	0	0
3038-0	某城市面积变化过程示意图，下列各题。该城市最可能出现	0	1	0	1	0	0
3043-0	湖水中盐分含量的变化可以反映湖泊水位以及气候的变化，所示为青海湖近l2万年以来盐分含量的变化。下列问题。青海湖近12万年来，最低水位出现的时间距今约	1	0	0	0	0	0
3101-0	能源生产结构：某类能源的生产量占能源生产总量的比例。能源消费结构：某类能源的消费量占能源消费总量的比例。我国煤炭和石油生产与消费结构差下列问题。上图说明我国	0	1	1	0	0	0
3123-0	为我国西北半干旱区某牧场草场载畜量和实际放牧量变化曲线示意图”。草场载畜量指在适度利用的原则下，一定的草地面积，一定的利用时期内，能够维持草地良性生态循环并保证家畜正常生长发育繁殖的情况下，能饲养家畜的最大数量。，完成下列各题。1950年-1975年期间，草场载畜量发生波动的主要影响因素是	0	0	0	0	0	1
3123-1	为我国西北半干旱区某牧场草场载畜量和实际放牧量变化曲线示意图”。草场载畜量指在适度利用的原则下，一定的草地面积，一定的利用时期内，能够维持草地良性生态循环并保证家畜正常生长发育繁殖的情况下，能饲养家畜的最大数量。，完成下列各题。该牧场人地关系严重对立的年代及原因组合正确的是	0	0	0	0	1	0
3143-0	为我国沿30°N线附近地区叶面积指数的空间变化。叶面积指数是指单位土地面积上植物叶片面积总和占土地面积的倍数。，下列问题。分界线S以西区域内叶面积指数偏低的最主要原因是该区域	0	0	0	0	1	0
3143-1	为我国沿30°N线附近地区叶面积指数的空间变化。叶面积指数是指单位土地面积上植物叶片面积总和占土地面积的倍数。，下列问题。分界线S以东区域内叶面积指数的空间变化体现了	0	1	0	0	0	0
3214-0	是某日两地太阳高度变化，甲地位于35°S的地区，下列问题。关于甲乙二地描述正确的是	1	0	1	0	0	0
3231-0	为我国乡村和城市人口占总人口比重变化曲线图。下列各题。由图中信息可知	0	1	0	0	0	0
3260-0	PM2.5是指大气中直径小于或等于2.5微米的颗粒物。近年来华北地区冬半年雾霾天气多发，PM2.5浓度增加是重要的原因之一。北京市某日PM2.5浓度变化图完成下列问题。导致该地PM2.5浓度变化的首要污染源是	1	0	0	0	0	0
3368-0	区域下垫面变化对其水资源量的变化有着明显影响，1985年至2000年宁夏回族自治区下垫面演变情况表未列出耕地及变化的数据），据此下列各题。有关宁夏下垫面及其演变的正确的是	0	1	0	1	0	0
3382-0	随着生活节奏的加快，人们出行对时间因素考虑逐渐增多，时间因素可能成为选择交通方式的主导因素。三种交通运输方式从门到门所需时间示意图完成下列问题航空，高速公路，高铁离城区客源地的距离	0	0	0	1	0	0
3382-1	随着生活节奏的加快，人们出行对时间因素考虑逐渐增多，时间因素可能成为选择交通方式的主导因素。三种交通运输方式从门到门所需时间示意图完成下列问题就时间因素考虑高铁和航空公司有较大的竞争性的客源其旅程距离最可能为	0	0	1	1	0	0
3478-0	我国不同地区某年粮食生产效率表。，下列问题。表中所示生产成本和效能，资本效率最多和单产最低的地区分别是	1	0	0	0	0	0
3506-0	年龄中位数指将全体人口按年龄大小的自然顺序排列时居于中间位置的人的年龄数值，在这个年龄数值以上的人数和以下的人数相等。下面表格示意2010年部分国家及世界人口平均年龄中位数单位：岁）。，据所学知识完成下列各题从表中可分析得到的正确结论是	0	0	0	1	0	0
3541-0	中四条曲线代表发达国家与发展中国家的少年儿童人口系数0〜15岁少年儿童占总人口的比例和老龄人口系数60岁以上老人占总人口数的比例变化曲线。，下列各题。代表发展中国家少年儿童人口系数的是	1	1	0	1	0	0
3541-1	中四条曲线代表发达国家与发展中国家的少年儿童人口系数0〜15岁少年儿童占总人口的比例和老龄人口系数60岁以上老人占总人口数的比例变化曲线。，下列各题。结合材料信息和所学知识，下列结论正确的是	1	1	0	1	0	0
3600-0	北京和深圳是我国城市化进程对比较为明显的两个城市，有关两城市城市化的统计数据表城市化率等于暂住人口和户籍非农人口之和与总人口的比值）。据此完成下列问题。材料所示时段，北京和深圳城市化的主要表现是	0	0	0	1	0	0
3649-0	某地区城镇人口与乡村人口数量变化统计图。完成下列各题。有关该地图示时期城市人口与发展状况，叙述正确的是	0	1	0	0	0	0
3660-0	表是四个不同地区农业生产比较表”。据此完成下列问题。甲-丁对应的农业地域类型可能性最大的是	0	0	1	0	1	0
3691-0	城市居民出行耗时的多少与交通方式的选择和出行距离相关。我国某市和伦敦不同交通出行方式耗时表。据此完成下列问题。关于表中信息的，正确的是	1	0	0	1	0	0
3691-1	城市居民出行耗时的多少与交通方式的选择和出行距离相关。我国某市和伦敦不同交通出行方式耗时表。据此完成下列问题。为改善城市交通环境，提高居民的出行效率，我国某市今后应优先保障	1	0	0	0	0	0
3695-0	2011年我国部分省市经济增长状况统计表，完成下列各题。关于统计表中各省市2011年经济发展的比较，正确的是	1	0	1	1	0	0
3702-0	2010年第六次全国人口普查与2000年第五次全国人口普查数据变化表，据此完成下题。下列关于近10年来我国人口的变化特点中，叙述正确的是	0	0	1	1	0	0
3763-0	是我国不同产业地理集中程度机器变化趋势统计图基尼系数数值越高，表明地理集中程度或专业化程度越高），小题：20世纪80年代以来，分布从较为分散到显著集中的产业是	0	1	0	0	0	0
3775-0	在风力较小逆温相对湿度较低的情况下，随着悬浮颗粒物的增多而导致大气能见度小于10千米的现象叫霾。图为北京天津河北三省市各月霾日数变化图，完成小题。以下关于霾的时空分布，叙述正确的是	0	0	0	0	1	0
3775-1	在风力较小逆温相对湿度较低的情况下，随着悬浮颗粒物的增多而导致大气能见度小于10千米的现象叫霾。图为北京天津河北三省市各月霾日数变化图，完成小题。造成河北霾日数季节差异的原因可能是	0	0	0	0	1	0
3784-0	下面是我国人口增长走势及预测图，，题图中abc三条曲线依次表示	0	1	1	0	0	0
3784-1	下面是我国人口增长走势及预测图，，回答题根据图中曲线，下列说法正确的是	0	1	0	0	0	0
3796-0	为江苏省三大产业产值比重与城市人口比重的变化图。，回答题。图中曲线标注的序号与文字说明，对应正确的是	0	1	0	0	0	1
3796-1	为江苏省三大产业产值比重与城市人口比重的变化图。，回答题。图示曲线反映了	0	1	0	1	0	0
3971-0	1995-2009年我国某省级行政区户籍人口迁移变动情况图结合所学知识，完成题。1995-2009年，该省级行政区户籍人口(　　)	0	1	0	0	0	1
3997-0	图为某国四地四地相互之间大体等距离分布某种重要自然资源储量和需求量关系图。，回答题。四地间最有可能产生资源跨区域调配现象的是(　　)	0	0	1	0	0	0
4125-0	如图为日美德法四国人口老龄化趋势图，纵坐标为65岁以上人口比例。依据联合国的定义，65岁以上人口超过7%，即进入老龄化社会，而当比例超过14%时，就变成老龄社会。回答题。图中最早进入老龄社会的国家是	0	0	1	0	0	0
4125-1	如图为日美德法四国人口老龄化趋势图，纵坐标为65岁以上人口比例。依据联合国的定义，65岁以上人口超过7%，即进入老龄化社会，而当比例超过14%时，就变成老龄社会。回答题。图中人口老化最迅速的国家，由老龄化社会变成老龄社会，大约花了	0	0	1	0	0	0
4127-0	表示我国主要运输方式的运量和速度的特点。回答题。图中数字代表的运输方式为(　　)	1	0	0	1	0	0
4201-0	为我国能源生产消费总量与GDP重心在经度上的变化示意图小题。据图以下说法正确的是：	0	1	0	0	0	0
4423-0	该图为我国某地某水库多年平均月入库水量和月均水位变化图，完成问题。该水库的位置最可能的地区是	1	0	0	0	1	0
4423-1	该图为我国某地某水库多年平均月入库水量和月均水位变化图，完成问题。下列关于该水库所在区域的说法，正确的是	0	1	0	0	0	0
4582-0	香水百合是一种长日照花卉，其开花期对日照时长非常敏感。在自然状态下，当日照时长长于14小时30分钟时香水百合才进入开花期，花期约3个月左右。该表为北京市不同日期的日出日落时间北京时间）。据此完成问题。在自然状态下，香水百合在北京市进入开花期的时间可能是	0	0	0	1	0	0
4586-0	该表是我国某区域四季平均降水量和各等级降水量mm)，各等级降雨包含其它降水形式。据此完成下列问题。该区域的气候类型为	1	0	1	0	0	0
4750-0	该图为我国某省级行政区某年国内游客流量变化。完成问题。该省级行政区最可能是	0	0	0	0	1	0
4750-1	该图为我国某省级行政区某年国内游客流量变化。完成问题。关于该省级行政区游客流量的变化原因错误的是	0	1	0	0	0	0
4813-0	某特大城市某干道市区郊区双向车速变化曲线图完成问题。图中ab两曲线	0	0	0	0	1	0
4830-0	该图为我国三个流域水灾受灾比受水灾的县域个数与总县域个数的比值多年平均的月变化图”。问题。三个流域水灾受灾比的特点有：	0	0	0	0	1	0
