guid	table_name	background	question	choice_A	choice_B	choice_C	choice_D	answer	gold	sentences
guid_193-0	沿海某地多年平均辐射差额的月份分配	地—气系统(大气和地面)吸收太阳短波辐射(能量收入)，又向外发射长波辐射(能量支出)，能量收支的差值，称为辐射差额。下图示意沿海某地多年平均辐射差额的月份分配。读图结合材料完成下列问题	地—气系统内存在着能量传递与转换，传递与转换形式多样，其中能促使温室效应增强的大气过程是大气	对太阳辐射的散射增强	射向地面的辐射增强	对太阳辐射的吸收增强	射向宇宙空间的辐射增强	B	1月地—气系统的辐射差额达到最小值,1-4月地—气系统的辐射差额为负	对于辐射差频KJ/cm^2当月份为1月辐射差频取得最小值-13.263158KJ/cm^2&对于辐射差频KJ/cm^2，在3月到4月之间，辐射差频增长较快&对于辐射差频KJ/cm^2辐射差频在区间7月到12月之间减小&对于辐射差频KJ/cm^2，在7月到10月之间，辐射差频减少较快&对于辐射差频KJ/cm^2，在5月到7月之间，辐射差频减少较慢&对于辐射差频KJ/cm^2当月份为2月辐射差频辐射差频KJ/cm^2为-11.157895KJ/cm^2&对于辐射差频KJ/cm^2当月份为1月辐射差频辐射差频KJ/cm^2为-13.263158KJ/cm^2&对于辐射差频KJ/cm^2当月份为4月辐射差频辐射差频KJ/cm^2为0.631579KJ/cm^2&对于辐射差频KJ/cm^2当月份为8月辐射差频辐射差频KJ/cm^2为0.631579KJ/cm^2&对于辐射差频KJ/cm^2当月份为12月辐射差频辐射差频KJ/cm^2为-13.263158KJ/cm^2&对于辐射差频KJ/cm^2，在4月到8月之间，辐射差频大于0.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到3月之间，辐射差频小于0.0KJ/cm^2&对于辐射差频KJ/cm^2，在9月到12月之间，辐射差频小于0.0KJ/cm^2&对于辐射差频KJ/cm^2，在5月到7月之间，辐射差频大于2.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到4月之间，辐射差频小于2.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于2.0KJ/cm^2&对于辐射差频KJ/cm^2，在5月到7月之间，辐射差频大于1.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到4月之间，辐射差频小于1.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于1.0KJ/cm^2&对于辐射差频KJ/cm^2，在5月到7月之间，辐射差频大于4.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到4月之间，辐射差频小于4.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于4.0KJ/cm^2&对于辐射差频KJ/cm^2，在6月到7月之间，辐射差频大于8.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到5月之间，辐射差频小于8.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于8.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到6月之间，辐射差频小于12.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于12.0KJ/cm^2&对于辐射差频KJ/cm^2，在4月到8月之间，辐射差频较大&对于辐射差频KJ/cm^2，在1月到3月之间，辐射差频较小&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频较小&辐射差频KJ/cm^2整体上先增加后减小&对于辐射差频KJ/cm^2当月份为1月辐射差频取得最小值
guid_193-1	沿海某地多年平均辐射差额的月份分配	地—气系统(大气和地面)吸收太阳短波辐射(能量收入)，又向外发射长波辐射(能量支出)，能量收支的差值，称为辐射差额。下图示意沿海某地多年平均辐射差额的月份分配。读图结合材料完成下列问题	若只考虑辐射差额对气温的影响，该地气温最低的月份是	1月	4月	8月	12月	B	1月地—气系统的辐射差额达到最小值,1-4月地—气系统的辐射差额为负	对于辐射差频KJ/cm^2当月份为1月辐射差频取得最小值-13.263158KJ/cm^2&对于辐射差频KJ/cm^2，在3月到4月之间，辐射差频增长较快&对于辐射差频KJ/cm^2辐射差频在区间7月到12月之间减小&对于辐射差频KJ/cm^2，在7月到10月之间，辐射差频减少较快&对于辐射差频KJ/cm^2，在5月到7月之间，辐射差频减少较慢&对于辐射差频KJ/cm^2当月份为2月辐射差频辐射差频KJ/cm^2为-11.157895KJ/cm^2&对于辐射差频KJ/cm^2当月份为1月辐射差频辐射差频KJ/cm^2为-13.263158KJ/cm^2&对于辐射差频KJ/cm^2当月份为4月辐射差频辐射差频KJ/cm^2为0.631579KJ/cm^2&对于辐射差频KJ/cm^2当月份为8月辐射差频辐射差频KJ/cm^2为0.631579KJ/cm^2&对于辐射差频KJ/cm^2当月份为12月辐射差频辐射差频KJ/cm^2为-13.263158KJ/cm^2&对于辐射差频KJ/cm^2，在4月到8月之间，辐射差频大于0.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到3月之间，辐射差频小于0.0KJ/cm^2&对于辐射差频KJ/cm^2，在9月到12月之间，辐射差频小于0.0KJ/cm^2&对于辐射差频KJ/cm^2，在5月到7月之间，辐射差频大于2.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到4月之间，辐射差频小于2.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于2.0KJ/cm^2&对于辐射差频KJ/cm^2，在5月到7月之间，辐射差频大于1.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到4月之间，辐射差频小于1.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于1.0KJ/cm^2&对于辐射差频KJ/cm^2，在5月到7月之间，辐射差频大于4.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到4月之间，辐射差频小于4.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于4.0KJ/cm^2&对于辐射差频KJ/cm^2，在6月到7月之间，辐射差频大于8.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到5月之间，辐射差频小于8.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于8.0KJ/cm^2&对于辐射差频KJ/cm^2，在1月到6月之间，辐射差频小于12.0KJ/cm^2&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频小于12.0KJ/cm^2&对于辐射差频KJ/cm^2，在4月到8月之间，辐射差频较大&对于辐射差频KJ/cm^2，在1月到3月之间，辐射差频较小&对于辐射差频KJ/cm^2，在8月到12月之间，辐射差频较小&辐射差频KJ/cm^2整体上先增加后减小&对于辐射差频KJ/cm^2当月份为1月辐射差频取得最小值
guid_406-0	我国某地某日到达地面的太阳辐射日变化状况	下图表示我国某地某日到达地面的太阳辐射日变化状况。读图回答下列问题。	该日日期及天气状况可能是	3月12日晴朗	5月5日晴朗	9月23日多云	5月20日多云	D	4时-19时太阳辐射大于0。11：30太阳辐射较低。	对于辐射W/m^2当时间为12时辐射取得最大值1126.352138W/m^2&对于辐射W/m^2当时间为19时辐射取得最小值22.597872W/m^2&对于辐射W/m^2辐射在区间4时到10时之间增加&对于辐射W/m^2，在5时到6时之间，辐射增长较快&对于辐射W/m^2辐射在区间10时到19时之间减小&对于辐射W/m^2，在17时到18时之间，辐射减少较快&对于辐射W/m^2当时间为12时辐射辐射W/m^2为1126.352138W/m^2&对于辐射W/m^2当时间为5时辐射辐射W/m^2为100.509938W/m^2&对于辐射W/m^2当时间为19时辐射辐射W/m^2为22.597872W/m^2&对于辐射W/m^2整体上，辐射大于0.0W/m^2&对于辐射W/m^2整体上，辐射大于3.0W/m^2&对于辐射W/m^2整体上，辐射大于12.0W/m^2&对于辐射W/m^2整体上，辐射大于5.0W/m^2&对于辐射W/m^2整体上，辐射大于9.0W/m^2&对于辐射W/m^2，在4时到18时之间，辐射大于23.0W/m^2&对于辐射W/m^2整体上，辐射大于20.0W/m^2&对于辐射W/m^2整体上，辐射大于2.0W/m^2&对于辐射W/m^2，在10时，辐射较大&对于辐射W/m^2，在12时到17时之间，辐射较大&对于辐射W/m^2，在4时到6时之间，辐射较小&对于辐射W/m^2，在17时到19时之间，辐射较小&辐射W/m^2整体上先增加后减小
guid_406-1	我国某地某日到达地面的太阳辐射日变化状况	下图表示我国某地某日到达地面的太阳辐射日变化状况。读图回答下列问题。	该地可能位于	塔里木盆地	四川盆地	东北平原	珠江三角洲	C	4时-19时太阳辐射大于0。11：30太阳辐射较低。	对于辐射W/m^2当时间为12时辐射取得最大值1126.352138W/m^2&对于辐射W/m^2当时间为19时辐射取得最小值22.597872W/m^2&对于辐射W/m^2辐射在区间4时到10时之间增加&对于辐射W/m^2，在5时到6时之间，辐射增长较快&对于辐射W/m^2辐射在区间10时到19时之间减小&对于辐射W/m^2，在17时到18时之间，辐射减少较快&对于辐射W/m^2当时间为12时辐射辐射W/m^2为1126.352138W/m^2&对于辐射W/m^2当时间为5时辐射辐射W/m^2为100.509938W/m^2&对于辐射W/m^2当时间为19时辐射辐射W/m^2为22.597872W/m^2&对于辐射W/m^2整体上，辐射大于0.0W/m^2&对于辐射W/m^2整体上，辐射大于3.0W/m^2&对于辐射W/m^2整体上，辐射大于12.0W/m^2&对于辐射W/m^2整体上，辐射大于5.0W/m^2&对于辐射W/m^2整体上，辐射大于9.0W/m^2&对于辐射W/m^2，在4时到18时之间，辐射大于23.0W/m^2&对于辐射W/m^2整体上，辐射大于20.0W/m^2&对于辐射W/m^2整体上，辐射大于2.0W/m^2&对于辐射W/m^2，在10时，辐射较大&对于辐射W/m^2，在12时到17时之间，辐射较大&对于辐射W/m^2，在4时到6时之间，辐射较小&对于辐射W/m^2，在17时到19时之间，辐射较小&辐射W/m^2整体上先增加后减小
guid_169-0	拉萨7月降水量日平均变化图	拉萨河流拥有丰富的物质文化和非物质文化资源，拉萨位于宽阔的拉萨河谷地北侧。下图为拉萨7月降水量日平均变化图。完成下列各题。	有关拉萨7月降水日变化成因的叙述，正确的是	白天升温迅速，盛行上升气流，水汽不易凝结成雨	白天盛行下沉气流，水汽不易凝结成雨	夜晚近地面形成逆温层，水汽易凝结成雨	夜晚地面降温迅速，近地面水汽易凝结成雨	B	拉萨白天降水少，夜晚降水多。	对于降水量mm当时间为9h降水量取得最大值12mm&对于降水量mm当时间为15h降水量取得最小值1mm&对于降水量mm降水量在区间6h到9h之间增加&对于降水量mm降水量在区间9h到17h之间减小&对于降水量mm，在9h到10h之间，降水量减少较快&对于降水量mm，在13h到14h之间，降水量减少较快&对于降水量mm，在9h到11h之间，降水量减少较慢&对于降水量mm当时间为7h降水量降水量mm为5mm&对于降水量mm整体上，降水量大于0mm&对于降水量mm，在9h到10h之间，降水量大于7mm&对于降水量mm，在11h到17h之间，降水量小于7mm&对于降水量mm，在7h到13h之间，降水量较大&对于降水量mm，在13h到17h之间，降水量较小&降水量mm整体上先增加后减小
guid_169-1	拉萨7月降水量日平均变化图	拉萨河流拥有丰富的物质文化和非物质文化资源，拉萨位于宽阔的拉萨河谷地北侧。下图为拉萨7月降水量日平均变化图。完成下列各题。	近年来，当地开展拉萨河文化生态保护区规划工作。下列做法合理的有①提高文化生态景区的集聚性②利用河滩低地布局文化建筑③控制著名景区的旅客日流量④防治湿地退化⑤吸收外来文化，改造当地民俗	①②③	①③④	②④⑤	③④⑤	B	拉萨白天降水少，夜晚降水多。	对于降水量mm当时间为9h降水量取得最大值12mm&对于降水量mm当时间为15h降水量取得最小值1mm&对于降水量mm降水量在区间6h到9h之间增加&对于降水量mm降水量在区间9h到17h之间减小&对于降水量mm，在9h到10h之间，降水量减少较快&对于降水量mm，在13h到14h之间，降水量减少较快&对于降水量mm，在9h到11h之间，降水量减少较慢&对于降水量mm当时间为7h降水量降水量mm为5mm&对于降水量mm整体上，降水量大于0mm&对于降水量mm，在9h到10h之间，降水量大于7mm&对于降水量mm，在11h到17h之间，降水量小于7mm&对于降水量mm，在7h到13h之间，降水量较大&对于降水量mm，在13h到17h之间，降水量较小&降水量mm整体上先增加后减小
guid_329-0	海底深度与其岩石年龄关系图	读海底深度与其岩石年龄关系图，回答下列各题。	甲处的岩石类型和地形分别是	变质岩海盆	侵入岩海沟	沉积岩岛弧	喷出岩海岭	D	距海岭越远，岩石年龄越大。	对于深度km当年龄为89百万年深度取得最大值6km&对于深度km当年龄为-1百万年深度取得最小值2km&对于深度km深度在区间-1百万年到89百万年之间增加&对于深度km，在-1百万年到30百万年之间，深度增长较快&对于深度km整体上，深度大于0km&对于深度km，在40百万年到89百万年之间，深度较大&对于深度km，在-1百万年到30百万年之间，深度较小&深度km整体上逐渐增大
guid_329-1	海底深度与其岩石年龄关系图	读海底深度与其岩石年龄关系图，回答下列各题。	下列地区所处的板块边界与甲处类似的是	日本群岛	地中海	新西兰南北二岛	冰岛	D	距海岭越远，岩石年龄越大。	对于深度km当年龄为89百万年深度取得最大值6km&对于深度km当年龄为-1百万年深度取得最小值2km&对于深度km深度在区间-1百万年到89百万年之间增加&对于深度km，在-1百万年到30百万年之间，深度增长较快&对于深度km整体上，深度大于0km&对于深度km，在40百万年到89百万年之间，深度较大&对于深度km，在-1百万年到30百万年之间，深度较小&深度km整体上逐渐增大
guid_8-0	某水库各月水量盈余率统计表	水量盈余率是衡量水库蓄水量变化的重要指标（水量盈余率=流入量/流出量），读“某 水库各月水量盈余率统计表”。完成下列各题。	下列说法正确的是	12月份水库的储水量最大	9月份水库的储水量最大	3月份水库的储水量最大	6月份水库的储水量最小	C	该湖泊从10月份到2月份水量盈余率大于1。4月份到8月份水量盈余率小于1。	对于水量盈余率当为1.月份取得最大值1.4&对于水量盈余率当为6月份取得最小值0.63&对于水量盈余率月份在区间6到12之间增加&对于水量盈余率，在9到10之间，月份增长较快&对于水量盈余率月份在区间1到5之间减小&对于水量盈余率，在4到5之间，月份减少较快&对于水量盈余率当为1.月份水量盈余率为1.4&对于水量盈余率当为9月份水量盈余率为1&对于水量盈余率当为3月份水量盈余率为1&对于水量盈余率当为6月份水量盈余率为0.63&对于水量盈余率整体上，月份大于0.0&对于水量盈余率，在1.3之间，月份大于1.0&对于水量盈余率，在9到1.之间，月份大于1.0&对于水量盈余率，在3到8之间，月份小于1.0&对于水量盈余率，在1到2之间，月份较大&对于水量盈余率，在10到12之间，月份较大&对于水量盈余率，在2到9之间，月份较小&水量盈余率整体上先减小后增大
guid_8-1	某水库各月水量盈余率统计表	水量盈余率是衡量水库蓄水量变化的重要指标（水量盈余率=流入量/流出量），读“某 水库各月水量盈余率统计表”。完成下列各题。	该水库最有可能位于	西欧地区	南亚地区	地中海地区	东亚地区	C	该湖泊从10月份到2月份水量盈余率大于1。4月份到8月份水量盈余率小于1。	对于水量盈余率当为1.月份取得最大值1.4&对于水量盈余率当为6月份取得最小值0.63&对于水量盈余率月份在区间6到12之间增加&对于水量盈余率，在9到10之间，月份增长较快&对于水量盈余率月份在区间1到5之间减小&对于水量盈余率，在4到5之间，月份减少较快&对于水量盈余率当为1.月份水量盈余率为1.4&对于水量盈余率当为9月份水量盈余率为1&对于水量盈余率当为3月份水量盈余率为1&对于水量盈余率当为6月份水量盈余率为0.63&对于水量盈余率整体上，月份大于0.0&对于水量盈余率，在1.3之间，月份大于1.0&对于水量盈余率，在9到1.之间，月份大于1.0&对于水量盈余率，在3到8之间，月份小于1.0&对于水量盈余率，在1到2之间，月份较大&对于水量盈余率，在10到12之间，月份较大&对于水量盈余率，在2到9之间，月份较小&水量盈余率整体上先减小后增大
guid_314-0	北半球某地某日的太阳高度变化示意图	下图为北半球某地某日的太阳高度变化示意图。读图完成下列问题。	该地的地理坐标是( )	180°, 70°N	180°， 73°26 ′N	30°E， 73°26 ′N	30°E， 70°N	D	0-24时，太阳高度都大于0。当当地为18点，最大太阳高度为40°	对于太阳高度°当时间为6时太阳高度取得最小值0°&对于太阳高度°太阳高度在区间6时到18时之间增加&对于太阳高度°当时间为24时太阳高度太阳高度°为19°&对于太阳高度°当时间为0时太阳高度太阳高度°为19°&对于太阳高度°整体上，太阳高度大于0°&对于太阳高度°整体上，太阳高度小于70°&对于太阳高度°整体上，太阳高度小于73°&对于太阳高度°，在0时到11时之间，太阳高度小于26°&对于太阳高度°，在0时到11时之间，太阳高度小于30°&对于太阳高度°，在18时到24时之间，太阳高度较大&对于太阳高度°，在0时到11时之间，太阳高度较小&太阳高度°整体上逐渐增大&对于太阳高度°当时间为18时太阳高度取得最大值
guid_314-1	北半球某地某日的太阳高度变化示意图	下图为北半球某地某日的太阳高度变化示意图。读图完成下列问题。	若不考虑天气因素和建筑物的遮挡，该日福建一天中建筑物窗户受阳光照射的情况正确的是	只有东、西、南三面的窗户可受到阳光照射	南、北向窗户有阳光照射，东、西向窗户没有阳光照射	东、西向窗户有阳光照射，南、北向窗户没有阳光照射	东、西、南、北向窗户均可受到阳光照射	D	0-24时，太阳高度都大于0。当当地为18点，最大太阳高度为40°	对于太阳高度°当时间为6时太阳高度取得最小值0°&对于太阳高度°太阳高度在区间6时到18时之间增加&对于太阳高度°当时间为24时太阳高度太阳高度°为19°&对于太阳高度°当时间为0时太阳高度太阳高度°为19°&对于太阳高度°整体上，太阳高度大于0°&对于太阳高度°整体上，太阳高度小于70°&对于太阳高度°整体上，太阳高度小于73°&对于太阳高度°，在0时到11时之间，太阳高度小于26°&对于太阳高度°，在0时到11时之间，太阳高度小于30°&对于太阳高度°，在18时到24时之间，太阳高度较大&对于太阳高度°，在0时到11时之间，太阳高度较小&太阳高度°整体上逐渐增大&对于太阳高度°当时间为18时太阳高度取得最大值
guid_100-0	某日高铁与航空运输比较表	2012年12月26日京广高铁正式开通运营。读某日高铁与航空运输比较表（下表），回答下列问题。	从资料中分析可知，四个区间中高铁与航空运输竞争最激烈的是	北京一石家庄	北京一郑州	北京一武汉	北京一广州	C	“北京一石家庄”和“北京一郑州”路程较短，票价高铁比航空更低，高铁运行时间比航空运行时间相差不大。“北京一广州”路程较远，高铁价格较低，但运行时间比航空多。“北京一武汉”高铁和航空价格相差不大，运行时间也相差不多。	对于高铁二等座最低票价元当区间及距离为北京-广州2200km取得最大值865&对于高铁运行时间当区间及距离为北京-广州2200km取得最大值7.59&对于航空运行时间当区间及距离为北京-广州2200km取得最大值3.15&对于高铁二等座最低票价元当区间及距离为北京-石家庄277km取得最小值129&对于高铁运行时间当区间及距离为北京-石家庄277km取得最小值1.20&对于航空运行时间当区间及距离为北京-石家庄277km取得最小值0.40&对于高铁二等座最低票价元在区间北京-石家庄277km到北京-广州2200km之间增加&对于高铁运行时间在区间北京-石家庄277km到北京-广州2200km之间增加&对于航空运行时间在区间北京-石家庄277km到北京-广州2200km之间增加&北京-石家庄277km高铁运行时间大于航空运行时间&北京-郑州695km高铁运行时间大于航空运行时间&北京-武汉1100km高铁运行时间大于航空运行时间&北京-广州2200km高铁运行时间大于航空运行时间&高铁二等座最低票价元北京-武汉1100km较大&高铁二等座最低票价元北京-广州2200km较大&高铁二等座最低票价元整体上逐渐增大
guid_100-1	某日高铁与航空运输比较表	2012年12月26日京广高铁正式开通运营。读某日高铁与航空运输比较表（下表），回答下列问题。	下列关于高铁和航空运输比较，说法正确的是	高铁因速度优势，在短距离运输中占优势	因航空运输价格高，长距离受高铁影响较大	航空运输因速度快，在长距离运输中优势明显	高铁与航空运输互补，互不干扰	C	“北京一石家庄”和“北京一郑州”路程较短，票价高铁比航空更低，高铁运行时间比航空运行时间相差不大。“北京一广州”路程较远，高铁价格较低，但运行时间比航空多。“北京一武汉”高铁和航空价格相差不大，运行时间也相差不多。	对于高铁二等座最低票价元当区间及距离为北京-广州2200km取得最大值865&对于高铁运行时间当区间及距离为北京-广州2200km取得最大值7.59&对于航空运行时间当区间及距离为北京-广州2200km取得最大值3.15&对于高铁二等座最低票价元当区间及距离为北京-石家庄277km取得最小值129&对于高铁运行时间当区间及距离为北京-石家庄277km取得最小值1.20&对于航空运行时间当区间及距离为北京-石家庄277km取得最小值0.40&对于高铁二等座最低票价元在区间北京-石家庄277km到北京-广州2200km之间增加&对于高铁运行时间在区间北京-石家庄277km到北京-广州2200km之间增加&对于航空运行时间在区间北京-石家庄277km到北京-广州2200km之间增加&北京-石家庄277km高铁运行时间大于航空运行时间&北京-郑州695km高铁运行时间大于航空运行时间&北京-武汉1100km高铁运行时间大于航空运行时间&北京-广州2200km高铁运行时间大于航空运行时间&高铁二等座最低票价元北京-武汉1100km较大&高铁二等座最低票价元北京-广州2200km较大&高铁二等座最低票价元整体上逐渐增大
guid_94-0	我国三个省区生物质能资源状况表	生物质能是以生物为载体，将大阳能以化学能形式储存的一种能量，它直接或间接地来源于植物的光合作用。读我国三个省区生物质能资源状况表，回答下列问题。	浙江和江苏的薪柴总量相差很大，但生物质能满足状况相差较小，主要原因是（）	浙江的水热条件更好	浙江丘陵多，江苏平原多	省区面积差异较大	江苏人口远少于浙江	B	浙江薪柴总量大于江苏	对于省区面积万km^2当省区为新疆取得最大值166&对于薪柴总量万kg当省区为浙江取得最大值380.6&对于省区面积万km^2当省区为浙江取得最小值10.18&对于薪柴总量万kg当省区为江苏取得最小值14.2&对于省区面积万km^2在区间浙江到新疆之间增加&对于薪柴总量万kg在区间江苏到新疆之间增加&省区面积万km^2新疆较大&省区面积万km^2整体上逐渐增大&对于省区面积万km^2当省区为浙江省区面积万km^2为10.18&对于省区面积万km^2当省区为江苏省区面积万km^2为10.26&对于生物质能满足状况当省区为浙江生物质能满足状况为可满足两个月&对于生物质能满足状况当省区为江苏生物质能满足状况为可满足一个月&对于薪柴总量万kg当省区为浙江薪柴总量万kg为380.6&对于薪柴总量万kg当省区为江苏薪柴总量万kg为14.2
guid_94-1	我国三个省区生物质能资源状况表	生物质能是以生物为载体，将大阳能以化学能形式储存的一种能量，它直接或间接地来源于植物的光合作用。读我国三个省区生物质能资源状况表，回答下列问题。	新疆的生物质能资源远不能满足需求，其最主要原因是（）	人口迁入多，矿物能源少	海拔较高，雪山面积小	交通落后，运输不便	气候干旱，植被稀疏	D	新疆生物质能满足状况为严重缺乏	对于省区面积万km^2当省区为新疆取得最大值166&对于薪柴总量万kg当省区为浙江取得最大值380.6&对于省区面积万km^2当省区为浙江取得最小值10.18&对于薪柴总量万kg当省区为江苏取得最小值14.2&对于省区面积万km^2在区间浙江到新疆之间增加&对于薪柴总量万kg在区间江苏到新疆之间增加&省区面积万km^2新疆较大&省区面积万km^2整体上逐渐增大&对于省区面积万km^2当省区为浙江省区面积万km^2为10.18&对于省区面积万km^2当省区为江苏省区面积万km^2为10.26&对于生物质能满足状况当省区为浙江生物质能满足状况为可满足两个月&对于生物质能满足状况当省区为江苏生物质能满足状况为可满足一个月&对于薪柴总量万kg当省区为浙江薪柴总量万kg为380.6&对于薪柴总量万kg当省区为江苏薪柴总量万kg为14.2
guid_94-2	我国三个省区生物质能资源状况表	生物质能是以生物为载体，将大阳能以化学能形式储存的一种能量，它直接或间接地来源于植物的光合作用。读我国三个省区生物质能资源状况表，回答下列问题。	下列对生物质能开发利用的措施中，合理的是（）①发展沼气，解决农村燃料②生产燃料乙醇，减轻对石油的依赖③大面积种植薪炭林，解决我国能源不足状况④提倡燃烧秸秆，以防止蔬菜遭受冻害	①②	①③	②③	②④	A	浙江薪柴总量大于江苏，新疆生物质能满足状况为严重缺乏	对于省区面积万km^2当省区为新疆取得最大值166&对于薪柴总量万kg当省区为浙江取得最大值380.6&对于省区面积万km^2当省区为浙江取得最小值10.18&对于薪柴总量万kg当省区为江苏取得最小值14.2&对于省区面积万km^2在区间浙江到新疆之间增加&对于薪柴总量万kg在区间江苏到新疆之间增加&省区面积万km^2新疆较大&省区面积万km^2整体上逐渐增大&对于省区面积万km^2当省区为浙江省区面积万km^2为10.18&对于省区面积万km^2当省区为江苏省区面积万km^2为10.26&对于生物质能满足状况当省区为浙江生物质能满足状况为可满足两个月&对于生物质能满足状况当省区为江苏生物质能满足状况为可满足一个月&对于薪柴总量万kg当省区为浙江薪柴总量万kg为380.6&对于薪柴总量万kg当省区为江苏薪柴总量万kg为14.2
guid_232-0	山东省某市迁入入口年龄及性别统计表	下表是我国第六次人口普查时“山东省某市迁入入口年龄及性别统计表”。完成下列各题。	该市迁入人口的特征有	以中老年人口为主	老年人口比重低于青少年人口	男性人口比重高于女性人口	与该市原有人口年龄构成相似	B	迁入人口以中青年人口为主，老年人口比重低于青少年人口。男性人口比重有些年龄段高于女性人口。	对于男性人口万当年龄段为15-29岁取得最大值25.14&对于女性人口万当年龄段为15-29岁取得最大值37.1&对于男性人口万当年龄段为60岁取得最小值1.76&对于女性人口万当年龄段为0-14岁取得最小值3.84&对于男性人口万在区间15-29岁到60岁之间减小&对于女性人口万在区间0-14岁到60岁之间减小&0-14男性人口万大于女性人口万&15-29男性人口万大于女性人口万&30-44男性人口万大于女性人口万&45-59男性人口万大于女性人口万&60男性人口万大于女性人口万&男性人口万15-29较大&男性人口万30-44较大&女性人口万15-29较大&男性人口万45-59较小&男性人口万60较小&女性人口万30-44较小&女性人口万45-59较小&女性人口万60较小&男性人口万整体上先增加后减小&女性人口万整体上逐渐减小
guid_232-1	山东省某市迁入入口年龄及性别统计表	下表是我国第六次人口普查时“山东省某市迁入入口年龄及性别统计表”。完成下列各题。	 迁入人口对该市可能导致的影响有	导致该市非农业用地的减少	扩大该市的环境人口容量	减轻了城市基础设施的压力	加剧了当地就业紧张局面	D	迁入人口以中青年人口为主，老年人口比重低于青少年人口。男性人口比重有些年龄段高于女性人口。	对于男性人口万当年龄段为15-29岁取得最大值25.14&对于女性人口万当年龄段为15-29岁取得最大值37.1&对于男性人口万当年龄段为60岁取得最小值1.76&对于女性人口万当年龄段为0-14岁取得最小值3.84&对于男性人口万在区间15-29岁到60岁之间减小&对于女性人口万在区间0-14岁到60岁之间减小&0-14男性人口万大于女性人口万&15-29男性人口万大于女性人口万&30-44男性人口万大于女性人口万&45-59男性人口万大于女性人口万&60男性人口万大于女性人口万&男性人口万15-29较大&男性人口万30-44较大&女性人口万15-29较大&男性人口万45-59较小&男性人口万60较小&女性人口万30-44较小&女性人口万45-59较小&女性人口万60较小&男性人口万整体上先增加后减小&女性人口万整体上逐渐减小
